Custom model enabled. Expert Only!! Currently non-FPN model is not supported!! Default setting is for MS-COCO.
Namespace(amp=False, anchor_alloc_size=[384, 384], anchor_aspect_ratio=[0.5, 1.0, 2.0], anchor_base_size=16, anchor_scales=[2.0, 4.0, 8.0, 16.0, 32.0], batch_size=2, clip=4.14, custom_model='custom-model', dataset='coco', disable_hybridization=False, epochs=126, executor_threads=1, gpus='0,1,2,3,4,5,6,7', horovod=False, image_max_size=1333, image_short=800, kv_store='dist-sync-perseus', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000, lr_warmup_factor=0.3333333333333333, max_num_gt=100, mixup=False, momentum=0.9, network='resnet50_v1b', nms_thresh=0.5, nms_topk=-1, no_mixup_epochs=20, no_pretrained_base=False, norm_layer='syncbn', num_box_head_conv=4, num_box_head_conv_filters=256, num_box_head_dense_filters=1024, num_fpn_filters=256, num_workers=4, post_nms=-1, profiler='0', rcnn_num_samples=512, rcnn_pos_iou_thresh=0.5, rcnn_pos_ratio=0.25, rcnn_smoothl1_rho=1.0, resume='', roi_mode='align', roi_size=[7, 7], rpn_channel=256, rpn_min_size=1, rpn_nms_thresh=0.7, rpn_smoothl1_rho=0.1111111111111111, rpn_test_post_nms=1000, rpn_test_pre_nms=6000, rpn_train_post_nms=2000, rpn_train_pre_nms=12000, save_interval=1, save_prefix='save-parameter/custom_faster_rcnn_fpn_resnet50_v1b_coco', seed=233, start_epoch=0, static_alloc=False, strides=[4, 8, 16, 32, 64], use_fpn=True, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.00041666666666666664
rank:0, [Epoch 0][Batch 1499], Speed: 5.905 samples/sec, RPN_Conf=0.172,RPN_SmoothL1=0.073,RCNN_CrossEntropy=0.518,RCNN_SmoothL1=0.160,RPNAcc=0.932,RPNL1Loss=0.618,RCNNAcc=0.926,RCNNL1Loss=2.231
rank:0, [Epoch 0][Batch 1599], Speed: 5.941 samples/sec, RPN_Conf=0.168,RPN_SmoothL1=0.072,RCNN_CrossEntropy=0.524,RCNN_SmoothL1=0.165,RPNAcc=0.933,RPNL1Loss=0.613,RCNNAcc=0.924,RCNNL1Loss=2.241
rank:0, [Epoch 0][Batch 1699], Speed: 5.956 samples/sec, RPN_Conf=0.165,RPN_SmoothL1=0.072,RCNN_CrossEntropy=0.526,RCNN_SmoothL1=0.168,RPNAcc=0.935,RPNL1Loss=0.608,RCNNAcc=0.923,RCNNL1Loss=2.248
rank:0, [Epoch 0][Batch 1799], Speed: 5.895 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.071,RCNN_CrossEntropy=0.527,RCNN_SmoothL1=0.171,RPNAcc=0.936,RPNL1Loss=0.603,RCNNAcc=0.922,RCNNL1Loss=2.253
rank:0, [Epoch 0][Batch 1899], Speed: 5.928 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.071,RCNN_CrossEntropy=0.531,RCNN_SmoothL1=0.175,RPNAcc=0.937,RPNL1Loss=0.600,RCNNAcc=0.921,RCNNL1Loss=2.258
rank:0, [Epoch 0][Batch 1999], Speed: 5.560 samples/sec, RPN_Conf=0.156,RPN_SmoothL1=0.070,RCNN_CrossEntropy=0.533,RCNN_SmoothL1=0.177,RPNAcc=0.938,RPNL1Loss=0.595,RCNNAcc=0.920,RCNNL1Loss=2.263
rank:0, [Epoch 0][Batch 2099], Speed: 5.915 samples/sec, RPN_Conf=0.154,RPN_SmoothL1=0.070,RCNN_CrossEntropy=0.535,RCNN_SmoothL1=0.180,RPNAcc=0.939,RPNL1Loss=0.591,RCNNAcc=0.919,RCNNL1Loss=2.266
rank:0, [Epoch 0][Batch 2199], Speed: 5.917 samples/sec, RPN_Conf=0.152,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.537,RCNN_SmoothL1=0.183,RPNAcc=0.940,RPNL1Loss=0.589,RCNNAcc=0.918,RCNNL1Loss=2.271
rank:0, [Epoch 0][Batch 2299], Speed: 5.932 samples/sec, RPN_Conf=0.150,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.538,RCNN_SmoothL1=0.185,RPNAcc=0.941,RPNL1Loss=0.586,RCNNAcc=0.918,RCNNL1Loss=2.275
rank:0, [Epoch 0][Batch 2399], Speed: 5.893 samples/sec, RPN_Conf=0.148,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.540,RCNN_SmoothL1=0.187,RPNAcc=0.942,RPNL1Loss=0.584,RCNNAcc=0.917,RCNNL1Loss=2.278
